task_id,tier,category,model,run_index,success,n_steps,invalid_rate,tokens_used,halt_reason,wall_seconds,judge_score,judge_rationale
t1a_read_value,1,retrieval,claude-cli:claude-opus-4-7,0,True,2,0.0,855,done,11.96,,
t1a_read_value,1,retrieval,claude-cli:claude-opus-4-7,1,True,2,0.0,907,done,9.63,,
t1a_read_value,1,retrieval,claude-cli:claude-opus-4-7,2,True,2,0.0,870,done,9.39,,
t1b_count_logs,1,retrieval,claude-cli:claude-opus-4-7,0,True,2,0.0,936,done,10.02,,
t1b_count_logs,1,retrieval,claude-cli:claude-opus-4-7,1,True,2,0.0,931,done,9.6,,
t1b_count_logs,1,retrieval,claude-cli:claude-opus-4-7,2,True,2,0.0,940,done,10.77,,
t2a_csv_mean,2,data,claude-cli:claude-opus-4-7,0,True,2,0.0,917,done,9.94,,
t2a_csv_mean,2,data,claude-cli:claude-opus-4-7,1,True,2,0.0,972,done,10.62,,
t2a_csv_mean,2,data,claude-cli:claude-opus-4-7,2,True,2,0.0,945,done,13.66,,
t2b_sort_lines,2,data,claude-cli:claude-opus-4-7,0,True,2,0.0,1006,done,11.29,,
t2b_sort_lines,2,data,claude-cli:claude-opus-4-7,1,True,2,0.0,927,done,10.33,,
t2b_sort_lines,2,data,claude-cli:claude-opus-4-7,2,True,2,0.0,972,done,11.46,,
t2c_transform,2,data,claude-cli:claude-opus-4-7,0,True,3,0.0,1290,done,12.51,,
t2c_transform,2,data,claude-cli:claude-opus-4-7,1,True,2,0.0,882,done,9.45,,
t2c_transform,2,data,claude-cli:claude-opus-4-7,2,True,2,0.0,940,done,10.66,,
t3a_error_counts,3,agentic,claude-cli:claude-opus-4-7,0,True,8,0.0,5961,done,92.19,,
t3a_error_counts,3,agentic,claude-cli:claude-opus-4-7,1,False,12,0.083,12153,max_steps,176.3,,
t3a_error_counts,3,agentic,claude-cli:claude-opus-4-7,2,False,9,0.0,7777,done,157.28,,
t3b_sum_files,3,agentic,claude-cli:claude-opus-4-7,0,True,7,0.0,3392,done,27.48,,
t3b_sum_files,3,agentic,claude-cli:claude-opus-4-7,1,True,7,0.0,3438,done,27.64,,
t3b_sum_files,3,agentic,claude-cli:claude-opus-4-7,2,True,7,0.0,3439,done,27.71,,
t4a_recover_fallback,4,agentic,claude-cli:claude-opus-4-7,0,True,3,0.0,1568,done,14.21,,
t4a_recover_fallback,4,agentic,claude-cli:claude-opus-4-7,1,True,3,0.0,1452,done,15.28,,
t4a_recover_fallback,4,agentic,claude-cli:claude-opus-4-7,2,True,3,0.0,1480,done,14.89,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-opus-4-7,0,True,2,0.0,1077,done,13.27,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-opus-4-7,1,True,2,0.0,1111,done,13.6,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-opus-4-7,2,True,2,0.0,1056,done,11.13,,
