Running 16 tasks x 3 models x k=3 = 144 runs
   claude-cli:claude-opus-4-8 | t1a_read_value | run 1/3
   claude-cli:claude-opus-4-8 | t1a_read_value | run 2/3
   claude-cli:claude-opus-4-8 | t1a_read_value | run 3/3
   claude-cli:claude-opus-4-8 | t1b_count_logs | run 1/3
   claude-cli:claude-opus-4-8 | t1b_count_logs | run 2/3
   claude-cli:claude-opus-4-8 | t1b_count_logs | run 3/3
   claude-cli:claude-opus-4-8 | t2a_csv_mean | run 1/3
   claude-cli:claude-opus-4-8 | t2a_csv_mean | run 2/3
   claude-cli:claude-opus-4-8 | t2a_csv_mean | run 3/3
   claude-cli:claude-opus-4-8 | t2b_sort_lines | run 1/3
   claude-cli:claude-opus-4-8 | t2b_sort_lines | run 2/3
   claude-cli:claude-opus-4-8 | t2b_sort_lines | run 3/3
   claude-cli:claude-opus-4-8 | t2c_transform | run 1/3
   claude-cli:claude-opus-4-8 | t2c_transform | run 2/3
   claude-cli:claude-opus-4-8 | t2c_transform | run 3/3
   claude-cli:claude-opus-4-8 | t3a_error_counts | run 1/3
   claude-cli:claude-opus-4-8 | t3a_error_counts | run 2/3
   claude-cli:claude-opus-4-8 | t3a_error_counts | run 3/3
   claude-cli:claude-opus-4-8 | t3b_sum_files | run 1/3
   claude-cli:claude-opus-4-8 | t3b_sum_files | run 2/3
   claude-cli:claude-opus-4-8 | t3b_sum_files | run 3/3
   claude-cli:claude-opus-4-8 | t4a_recover_fallback | run 1/3
   claude-cli:claude-opus-4-8 | t4a_recover_fallback | run 2/3
   claude-cli:claude-opus-4-8 | t4a_recover_fallback | run 3/3
   claude-cli:claude-opus-4-8 | t4b_skip_bad_rows | run 1/3
   claude-cli:claude-opus-4-8 | t4b_skip_bad_rows | run 2/3
   claude-cli:claude-opus-4-8 | t4b_skip_bad_rows | run 3/3
   claude-cli:claude-opus-4-8 | t4c_sum_skip_corrupt | run 1/3
   claude-cli:claude-opus-4-8 | t4c_sum_skip_corrupt | run 2/3
   claude-cli:claude-opus-4-8 | t4c_sum_skip_corrupt | run 3/3
   claude-cli:claude-opus-4-8 | c_impl_function | run 1/3
   claude-cli:claude-opus-4-8 | c_impl_function | run 2/3
   claude-cli:claude-opus-4-8 | c_impl_function | run 3/3
   claude-cli:claude-opus-4-8 | c_fix_bug | run 1/3
   claude-cli:claude-opus-4-8 | c_fix_bug | run 2/3
   claude-cli:claude-opus-4-8 | c_fix_bug | run 3/3
   claude-cli:claude-opus-4-8 | c_code_transform | run 1/3
   claude-cli:claude-opus-4-8 | c_code_transform | run 2/3
   claude-cli:claude-opus-4-8 | c_code_transform | run 3/3
   claude-cli:claude-opus-4-8 | r_multi_step_math | run 1/3
   claude-cli:claude-opus-4-8 | r_multi_step_math | run 2/3
   claude-cli:claude-opus-4-8 | r_multi_step_math | run 3/3
   claude-cli:claude-opus-4-8 | r_logic_grid | run 1/3
   claude-cli:claude-opus-4-8 | r_logic_grid | run 2/3
   claude-cli:claude-opus-4-8 | r_logic_grid | run 3/3
   claude-cli:claude-opus-4-8 | r_constraint_plan | run 1/3
   claude-cli:claude-opus-4-8 | r_constraint_plan | run 2/3
   claude-cli:claude-opus-4-8 | r_constraint_plan | run 3/3
   claude-cli:claude-sonnet-4-6 | t1a_read_value | run 1/3
   claude-cli:claude-sonnet-4-6 | t1a_read_value | run 2/3
   claude-cli:claude-sonnet-4-6 | t1a_read_value | run 3/3
   claude-cli:claude-sonnet-4-6 | t1b_count_logs | run 1/3
   claude-cli:claude-sonnet-4-6 | t1b_count_logs | run 2/3
   claude-cli:claude-sonnet-4-6 | t1b_count_logs | run 3/3
   claude-cli:claude-sonnet-4-6 | t2a_csv_mean | run 1/3
   claude-cli:claude-sonnet-4-6 | t2a_csv_mean | run 2/3
   claude-cli:claude-sonnet-4-6 | t2a_csv_mean | run 3/3
   claude-cli:claude-sonnet-4-6 | t2b_sort_lines | run 1/3
   claude-cli:claude-sonnet-4-6 | t2b_sort_lines | run 2/3
   claude-cli:claude-sonnet-4-6 | t2b_sort_lines | run 3/3
   claude-cli:claude-sonnet-4-6 | t2c_transform | run 1/3
   claude-cli:claude-sonnet-4-6 | t2c_transform | run 2/3
   claude-cli:claude-sonnet-4-6 | t2c_transform | run 3/3
   claude-cli:claude-sonnet-4-6 | t3a_error_counts | run 1/3
   claude-cli:claude-sonnet-4-6 | t3a_error_counts | run 2/3
   claude-cli:claude-sonnet-4-6 | t3a_error_counts | run 3/3
   claude-cli:claude-sonnet-4-6 | t3b_sum_files | run 1/3
   claude-cli:claude-sonnet-4-6 | t3b_sum_files | run 2/3
   claude-cli:claude-sonnet-4-6 | t3b_sum_files | run 3/3
   claude-cli:claude-sonnet-4-6 | t4a_recover_fallback | run 1/3
   claude-cli:claude-sonnet-4-6 | t4a_recover_fallback | run 2/3
   claude-cli:claude-sonnet-4-6 | t4a_recover_fallback | run 3/3
   claude-cli:claude-sonnet-4-6 | t4b_skip_bad_rows | run 1/3
   claude-cli:claude-sonnet-4-6 | t4b_skip_bad_rows | run 2/3
   claude-cli:claude-sonnet-4-6 | t4b_skip_bad_rows | run 3/3
   claude-cli:claude-sonnet-4-6 | t4c_sum_skip_corrupt | run 1/3
   claude-cli:claude-sonnet-4-6 | t4c_sum_skip_corrupt | run 2/3
   claude-cli:claude-sonnet-4-6 | t4c_sum_skip_corrupt | run 3/3
   claude-cli:claude-sonnet-4-6 | c_impl_function | run 1/3
   claude-cli:claude-sonnet-4-6 | c_impl_function | run 2/3
