task_id,tier,category,model,run_index,success,n_steps,invalid_rate,tokens_used,halt_reason,wall_seconds,judge_score,judge_rationale
t1a_read_value,1,retrieval,claude-cli:claude-opus-4-8,0,True,2,0.0,843,done,20.39,,
t1a_read_value,1,retrieval,claude-cli:claude-opus-4-8,1,True,2,0.0,848,done,18.93,,
t1a_read_value,1,retrieval,claude-cli:claude-opus-4-8,2,True,2,0.0,840,done,18.86,,
t1b_count_logs,1,retrieval,claude-cli:claude-opus-4-8,0,True,2,0.0,899,done,19.47,,
t1b_count_logs,1,retrieval,claude-cli:claude-opus-4-8,1,True,2,0.0,1096,done,16.55,,
t1b_count_logs,1,retrieval,claude-cli:claude-opus-4-8,2,True,2,0.0,871,done,19.38,,
t2a_csv_mean,2,data,claude-cli:claude-opus-4-8,0,True,2,0.0,913,done,26.69,,
t2a_csv_mean,2,data,claude-cli:claude-opus-4-8,1,True,2,0.0,917,done,29.26,,
t2a_csv_mean,2,data,claude-cli:claude-opus-4-8,2,True,2,0.0,872,done,24.98,,
t2b_sort_lines,2,data,claude-cli:claude-opus-4-8,0,True,2,0.0,913,done,22.03,,
t2b_sort_lines,2,data,claude-cli:claude-opus-4-8,1,True,2,0.0,915,done,19.03,,
t2b_sort_lines,2,data,claude-cli:claude-opus-4-8,2,True,2,0.0,909,done,20.25,,
t2c_transform,2,data,claude-cli:claude-opus-4-8,0,True,2,0.0,876,done,20.41,,
t2c_transform,2,data,claude-cli:claude-opus-4-8,1,True,2,0.0,865,done,19.09,,
t2c_transform,2,data,claude-cli:claude-opus-4-8,2,True,2,0.0,857,done,17.17,,
t3a_error_counts,3,agentic,claude-cli:claude-opus-4-8,0,True,5,0.0,2674,done,48.91,,
t3a_error_counts,3,agentic,claude-cli:claude-opus-4-8,1,True,5,0.0,2548,done,45.75,,
t3a_error_counts,3,agentic,claude-cli:claude-opus-4-8,2,True,5,0.0,2576,done,49.91,,
t3b_sum_files,3,agentic,claude-cli:claude-opus-4-8,0,True,7,0.0,3386,done,56.16,,
t3b_sum_files,3,agentic,claude-cli:claude-opus-4-8,1,True,7,0.0,3153,done,66.61,,
t3b_sum_files,3,agentic,claude-cli:claude-opus-4-8,2,True,7,0.0,3289,done,60.99,,
t4a_recover_fallback,4,agentic,claude-cli:claude-opus-4-8,0,True,3,0.0,1426,done,27.29,,
t4a_recover_fallback,4,agentic,claude-cli:claude-opus-4-8,1,True,3,0.0,1368,done,28.9,,
t4a_recover_fallback,4,agentic,claude-cli:claude-opus-4-8,2,True,3,0.0,1499,done,29.61,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-opus-4-8,0,True,2,0.0,971,done,19.38,,
t4b_skip_bad_rows,4,agentic,claude-cli:claude-opus-4-8,1,True,2,0.0,1012,done,24.66,,
